team,team_code,shirt_number,position,player_text,name_on_shirt,dob,club,height_cm,caps,goals,player_key,shirt_key
Croatia,CRO,7,MF,MORO Nikola Nikola MORO MORO,MORO MORO,1998-03-12,Bologna FC (ITA),183,10,0,moro nikola nikola moro moro,moro moro
Croatia,CRO,8,MF,KOVACIC Mateo Mateo KOVAČIĆ KOVAČIĆ,KOVAČIĆ KOVAČIĆ,1994-05-06,Manchester City FC (ENG),178,113,5,kovacic mateo mateo kova i kova i,kova i kova i
Croatia,CRO,9,FW,KRAMARIC Andrej Andrej KRAMARIĆ KRAMARIĆ,KRAMARIĆ KRAMARIĆ,1991-06-19,TSG Hoffenheim (GER),177,116,36,kramaric andrej andrej kramari kramari,kramari kramari
Croatia,CRO,10,MF,MODRIC Luka Luka MODRIĆ MODRIĆ,MODRIĆ MODRIĆ,1985-09-09,AC Milan (ITA),172,198,29,modric luka luka modri modri,modri modri
Croatia,CRO,11,FW,BUDIMIR Ante Ante BUDIMIR BUDIMIR,BUDIMIR BUDIMIR,1991-07-22,CA Osasuna (ESP),190,38,6,budimir ante ante budimir budimir,budimir budimir
Croatia,CRO,12,GK,PANDUR Ivor Ivor PANDUR PANDUR,PANDUR PANDUR,2000-03-25,Hull City FC (ENG),187,0,0,pandur ivor ivor pandur pandur,pandur pandur
Croatia,CRO,13,MF,VLASIC Nikola Nikola VLAŠIĆ VLAŠIĆ,VLAŠIĆ VLAŠIĆ,1997-10-04,Torino FC (ITA),179,63,10,vlasic nikola nikola vla i vla i,vla i vla i
Croatia,CRO,14,FW,PERISIC Ivan Ivan PERIŠIĆ PERIŠIĆ,PERIŠIĆ PERIŠIĆ,1989-02-02,PSV Eindhoven (NED),186,154,38,perisic ivan ivan peri i peri i,peri i peri i
Croatia,CRO,15,MF,PASALIC Mario Mario PAŠALIĆ PAŠALIĆ,PAŠALIĆ PAŠALIĆ,1995-02-09,Atalanta Bergamo (ITA),188,85,12,pasalic mario mario pa ali pa ali,pa ali pa ali
Croatia,CRO,16,MF,BATURINA Martin Martin BATURINA BATURINA,BATURINA BATURINA,2003-02-16,Como (ITA),172,19,1,baturina martin martin baturina baturina,baturina baturina
Croatia,CRO,17,MF,SUCIC Petar Petar SUČIĆ P. SUČIĆ,P. SUČIĆ,2003-10-25,FC Internazionale Milano (ITA),183,17,1,sucic petar petar su i p su i,p su i
Croatia,CRO,18,DF,JAKIC Kristijan Kristijan JAKIĆ JAKIĆ,JAKIĆ JAKIĆ,1997-05-14,FC Augsburg (GER),181,17,2,jakic kristijan kristijan jaki jaki,jaki jaki
Croatia,CRO,19,MF,FRUK Toni Toni FRUK FRUK,FRUK FRUK,2001-03-09,HNK Rijeka (CRO),177,7,1,fruk toni toni fruk fruk,fruk fruk
Croatia,CRO,20,FW,MATANOVIC Igor Igor MATANOVIĆ MATANOVIĆ,MATANOVIĆ MATANOVIĆ,2003-03-31,SC Freiburg (GER),194,9,2,matanovic igor igor matanovi matanovi,matanovi matanovi
Croatia,CRO,21,MF,SUCIC Luka Luka SUČIĆ SUČIĆ,SUČIĆ SUČIĆ,2002-09-08,Real Sociedad (ESP),185,21,1,sucic luka luka su i su i,su i su i
Croatia,CRO,22,DF,VUSKOVIC Luka Luka VUŠKOVIĆ VUŠKOVIĆ,VUŠKOVIĆ VUŠKOVIĆ,2007-02-24,Hamburger SV (GER),193,5,1,vuskovic luka luka vu kovi vu kovi,vu kovi vu kovi
Croatia,CRO,23,GK,KOTARSKI Dominik Dominik KOTARSKI KOTARSKI,KOTARSKI KOTARSKI,2000-02-10,FC København (DEN),190,4,0,kotarski dominik dominik kotarski kotarski,kotarski kotarski
Croatia,CRO,24,FW,PASALIC Marco Marco PAŠALIĆ M. PAŠALIĆ,M. PAŠALIĆ,2000-09-14,Orlando City SC (USA),177,15,1,pasalic marco marco pa ali m pa ali,m pa ali
Croatia,CRO,25,DF,ERLIC Martin Martin ERLIĆ ERLIĆ,ERLIĆ ERLIĆ,1998-01-24,FC Midtjylland (DEN),192,13,1,erlic martin martin erli erli,erli erli
Croatia,CRO,26,FW,MUSA Petar Petar MUSA MUSA,MUSA MUSA,1998-03-04,FC Dallas (USA),190,11,1,musa petar petar musa musa,musa musa
Curaçao,CUW,1,GK,ROOM Eloy Eloy Victor ROOM ROOM,ROOM ROOM,1989-02-06,Miami FC (USA),190,72,0,room eloy eloy victor room room,room room
Curaçao,CUW,2,DF,SAMBO Shurandy Shurandy Ruggerio SAMBO SAMBO,SAMBO SAMBO,2001-08-19,Sparta Rotterdam (NED),174,8,0,sambo shurandy shurandy ruggerio sambo sambo,sambo sambo
Curaçao,CUW,3,DF,GAARI Jurien Juriën Godfried Juan GAARI GAARI,GAARI GAARI,1993-12-23,Abha Club (KSA),183,60,1,gaari jurien juri n godfried juan gaari gaari,gaari gaari
Curaçao,CUW,4,DF,VAN EIJMA Roshon Róshón Felix Romar Jordan VAN EIJMA VAN EIJMA,VAN EIJMA VAN EIJMA,1998-06-09,RKC Waalwijk (NED),186,28,1,van eijma roshon r sh n felix romar jordan van eijma van eijma,van eijma van eijma
Curaçao,CUW,5,DF,FLORANUS Sherel Sherel Constancio FLORANUS FLORANUS,FLORANUS FLORANUS,1998-08-23,PEC Zwolle (NED),181,27,0,floranus sherel sherel constancio floranus floranus,floranus floranus
Curaçao,CUW,6,MF,ROEMERATOE Godfried Godfried ROEMERATOE ROEMERATOE,ROEMERATOE ROEMERATOE,1999-08-19,RKC Waalwijk (NED),178,29,1,roemeratoe godfried godfried roemeratoe roemeratoe,roemeratoe roemeratoe
Curaçao,CUW,7,MF,BACUNA Juninho Juninho Gracielo BACUNA J. BACUNA,J. BACUNA,1997-08-07,FC Volendam (NED),178,50,14,bacuna juninho juninho gracielo bacuna j bacuna,j bacuna
Curaçao,CUW,8,MF,COMENENCIA Livano Livano Shyron Liomar COMENENCIA COMENENCIA,COMENENCIA COMENENCIA,2004-02-03,FC Zürich (SUI),185,20,2,comenencia livano livano shyron liomar comenencia comenencia,comenencia comenencia
Curaçao,CUW,9,FW,LOCADIA Juergen Jürgen Leonardo LOCADIA LOCADIA,LOCADIA LOCADIA,1993-11-07,Miami FC (USA),193,13,1,locadia juergen j rgen leonardo locadia locadia,locadia locadia
Curaçao,CUW,10,MF,BACUNA Leandro Leandro Jones Johan BACUNA L. BACUNA,L. BACUNA,1991-08-21,Iğdır FK (TUR),180,72,16,bacuna leandro leandro jones johan bacuna l bacuna,l bacuna
Curaçao,CUW,11,FW,ANTONISSE Jeremy Jeremy Cornelis Jacobus ANTONISSE ANTONISSE,ANTONISSE ANTONISSE,2002-03-29,AE Kisia FC (GRE),164,27,4,antonisse jeremy jeremy cornelis jacobus antonisse antonisse,antonisse antonisse
Curaçao,CUW,12,FW,HANSEN Sontje Misjonne Juniffer Naigelino HANSEN HANSEN,HANSEN HANSEN,2002-05-18,Middlesbrough FC (ENG),176,6,1,hansen sontje misjonne juniffer naigelino hansen hansen,hansen hansen
Curaçao,CUW,13,FW,NOSLIN Tyrese Tyrese Yurvencey NOSLIN NOSLIN,NOSLIN NOSLIN,2002-09-11,SC Telstar (NED),182,7,1,noslin tyrese tyrese yurvencey noslin noslin,noslin noslin
Curaçao,CUW,14,FW,GORRE Kenji Kenji Joël GORRÉ GORRÉ,GORRÉ GORRÉ,1994-09-29,Maccabi Haifa FC (ISR),174,38,6,gorre kenji kenji jo l gorr gorr,gorr gorr
Curaçao,CUW,15,MF,MARTHA Arjany Ar'jany Jainel Archenir MARTHA MARTHA,MARTHA MARTHA,2003-09-04,Rotherham United FC (ENG),180,9,2,martha arjany ar jany jainel archenir martha martha,martha martha
Curaçao,CUW,16,FW,MARGARITHA Jearl Jearl Erwin MARGARITHA MARGARITHA,MARGARITHA MARGARITHA,2000-04-10,SK Beveren (BEL),181,22,5,margaritha jearl jearl erwin margaritha margaritha,margaritha margaritha
Curaçao,CUW,17,FW,KUWAS Brandley Brandley Mack-Olien KUWAS KUWAS,KUWAS KUWAS,1992-09-19,FC Volendam (NED),181,36,2,kuwas brandley brandley mack olien kuwas kuwas,kuwas kuwas
Curaçao,CUW,18,DF,OBISPO Armando Armando Maria OBISPO OBISPO,OBISPO OBISPO,1999-03-05,PSV Eindhoven (NED),185,6,0,obispo armando armando maria obispo obispo,obispo obispo
Curaçao,CUW,19,FW,KASTANEER Gervane Gervane Zjandric Adonnis KASTANEER KASTANEER,KASTANEER KASTANEER,1996-06-09,Terengganu FC (MAS),189,29,9,kastaneer gervane gervane zjandric adonnis kastaneer kastaneer,kastaneer kastaneer
Curaçao,CUW,20,DF,BRENET Joshua Joshua Benjamin BRENET BRENET,BRENET BRENET,1994-03-20,Kayserispor (TUR),181,18,2,brenet joshua joshua benjamin brenet brenet,brenet brenet
Curaçao,CUW,21,MF,CHONG Tahith Tahith Jose Girigorio Djorkaef CHONG CHONG,CHONG CHONG,1999-12-04,Sheeld United FC (ENG),185,6,3,chong tahith tahith jose girigorio djorkaef chong chong,chong chong
Curaçao,CUW,22,MF,FELIDA Kevin Kevin Antonio FELIDA FELIDA,FELIDA FELIDA,1999-11-11,FC Den Bosch (NED),174,19,1,felida kevin kevin antonio felida felida,felida felida
Curaçao,CUW,23,DF,BAZOER Riechedly Riechedly Guillermo BAZOER BAZOER,BAZOER BAZOER,1996-10-12,Konyaspor (TUR),184,5,0,bazoer riechedly riechedly guillermo bazoer bazoer,bazoer bazoer
Curaçao,CUW,24,DF,FONVILLE Deveron Deveron Lenny FONVILLE FONVILLE,FONVILLE FONVILLE,2003-05-16,NEC Nijmegen (NED),188,2,0,fonville deveron deveron lenny fonville fonville,fonville fonville
Curaçao,CUW,25,GK,BODAK Tyrick Tyrick Jeremy BODAK BODAK,BODAK BODAK,2002-05-15,SC Telstar (NED),190,4,0,bodak tyrick tyrick jeremy bodak bodak,bodak bodak
Curaçao,CUW,26,GK,DOORNBUSCH Trevor Trevor Irving DOORNBUSCH DOORNBUSCH,DOORNBUSCH DOORNBUSCH,1999-07-06,VVV Venlo (NED),188,8,0,doornbusch trevor trevor irving doornbusch doornbusch,doornbusch doornbusch
Czechia,CZE,1,GK,KOVAR Matej Matěj KOVÁŘ KOVÁŘ,KOVÁŘ KOVÁŘ,2000-05-17,PSV Eindhoven (NED),196,20,0,kovar matej mat j kov kov,kov kov
Czechia,CZE,2,DF,ZIMA David David ZIMA ZIMA,ZIMA ZIMA,2000-11-08,SK Slavia Praha (CZE),190,25,1,zima david david zima zima,zima zima
Czechia,CZE,3,DF,HOLES Tomas Tomáš HOLEŠ HOLEŠ,HOLEŠ HOLEŠ,1993-03-31,SK Slavia Praha (CZE),180,41,2,holes tomas tom hole hole,hole hole
Czechia,CZE,4,DF,HRANAC Robin Robin HRANÁČ HRANÁČ,HRANÁČ HRANÁČ,2000-01-29,TSG Hoffenheim (GER),189,14,1,hranac robin robin hran hran,hran hran
Czechia,CZE,5,DF,COUFAL Vladimir Vladimír COUFAL COUFAL,COUFAL COUFAL,1992-08-22,TSG Hoffenheim (GER),175,62,2,coufal vladimir vladim r coufal coufal,coufal coufal
Czechia,CZE,6,DF,CHALOUPEK Stepan Štěpán CHALOUPEK CHALOUPEK,CHALOUPEK CHALOUPEK,2003-03-08,SK Slavia Praha (CZE),188,5,0,chaloupek stepan t p n chaloupek chaloupek,chaloupek chaloupek
Czechia,CZE,7,DF,KREJCI Ladislav Ladislav KREJČÍ KREJČÍ,KREJČÍ KREJČÍ,1999-04-20,Wolverhampton Wanderers FC (ENG),191,27,5,krejci ladislav ladislav krej krej,krej krej
Czechia,CZE,8,MF,DARIDA Vladimir Vladimír DARIDA DARIDA,DARIDA DARIDA,1990-08-08,FC Hradec Králové (CZE),172,79,8,darida vladimir vladim r darida darida,darida darida
Czechia,CZE,9,FW,HLOZEK Adam Adam HLOŽEK HLOŽEK,HLOŽEK HLOŽEK,2002-07-25,TSG Hoffenheim (GER),188,43,5,hlozek adam adam hlo ek hlo ek,hlo ek hlo ek
Czechia,CZE,10,FW,SCHICK Patrik Patrik SCHICK SCHICK,SCHICK SCHICK,1996-01-24,Bayer 04 Leverkusen (GER),191,53,26,schick patrik patrik schick schick,schick schick
Czechia,CZE,11,FW,KUCHTA Jan Jan KUCHTA KUCHTA,KUCHTA KUCHTA,1997-01-08,AC Sparta Praha (CZE),185,31,3,kuchta jan jan kuchta kuchta,kuchta kuchta
Czechia,CZE,12,MF,CERV Lukas Lukáš ČERV ČERV,ČERV ČERV,2001-04-10,FC Viktoria Plzeň (CZE),182,17,2,cerv lukas luk erv erv,erv erv
Czechia,CZE,13,FW,CHYTIL Mojmir Mojmír CHYTIL CHYTIL,CHYTIL CHYTIL,1999-04-29,SK Slavia Praha (CZE),187,22,6,chytil mojmir mojm r chytil chytil,chytil chytil
Czechia,CZE,14,DF,JURASEK David David JURÁSEK JURÁSEK,JURÁSEK JURÁSEK,2000-08-07,SK Slavia Praha (CZE),183,18,1,jurasek david david jur sek jur sek,jur sek jur sek
Czechia,CZE,15,FW,SULC Pavel Pavel ŠULC ŠULC,ŠULC ŠULC,2000-12-29,Olympique Lyonnais (FRA),177,21,5,sulc pavel pavel ulc ulc,ulc ulc
Czechia,CZE,16,GK,STANEK Jindrich Jindřich STANĚK STANĚK,STANĚK STANĚK,1996-04-27,SK Slavia Praha (CZE),192,14,0,stanek jindrich jind ich stan k stan k,stan k stan k
Czechia,CZE,17,MF,PROVOD Lukas Lukáš PROVOD PROVOD,PROVOD PROVOD,1996-10-23,SK Slavia Praha (CZE),191,38,3,provod lukas luk provod provod,provod provod
Czechia,CZE,18,MF,SADILEK Michal Michal SADÍLEK SADÍLEK,SADÍLEK SADÍLEK,1999-05-31,SK Slavia Praha (CZE),169,35,1,sadilek michal michal sad lek sad lek,sad lek sad lek
Czechia,CZE,19,FW,CHORY Tomas Tomáš CHORÝ CHORÝ,CHORÝ CHORÝ,1995-01-26,SK Slavia Praha (CZE),199,22,7,chory tomas tom chor chor,chor chor
Czechia,CZE,20,DF,ZELENY Jaroslav Jaroslav ZELENÝ ZELENÝ,ZELENÝ ZELENÝ,1992-08-20,AC Sparta Praha (CZE),190,23,0,zeleny jaroslav jaroslav zelen zelen,zelen zelen
Czechia,CZE,21,DF,DOUDERA David David DOUDĚRA DOUDĚRA,DOUDĚRA DOUDĚRA,1998-05-31,SK Slavia Praha (CZE),175,17,2,doudera david david doud ra doud ra,doud ra doud ra
Czechia,CZE,22,MF,SOUCEK Tomas Tomáš SOUČEK SOUČEK,SOUČEK SOUČEK,1995-02-27,West Ham United FC (ENG),192,90,17,soucek tomas tom sou ek sou ek,sou ek sou ek
Czechia,CZE,23,GK,HORNICEK Lukas Lukáš HORNÍČEK HORNÍČEK,HORNÍČEK HORNÍČEK,2002-07-13,SC Braga (POR),198,1,0,hornicek lukas luk horn ek horn ek,horn ek horn ek
Czechia,CZE,24,MF,SOJKA Alexandr Alexandr SOJKA SOJKA,SOJKA SOJKA,2003-04-02,FC Viktoria Plzeň (CZE),188,2,0,sojka alexandr alexandr sojka sojka,sojka sojka
Czechia,CZE,25,MF,SOCHUREK Hugo Hugo SOCHŮREK SOCHŮREK,SOCHŮREK SOCHŮREK,2008-06-07,AC Sparta Praha (CZE),183,1,0,sochurek hugo hugo soch rek soch rek,soch rek soch rek
Czechia,CZE,26,FW,VISINSKY Denis Denis VIŠINSKÝ VIŠINSKÝ,VIŠINSKÝ VIŠINSKÝ,2003-03-21,FC Viktoria Plzeň (CZE),178,2,1,visinsky denis denis vi insk vi insk,vi insk vi insk
Ecuador,ECU,1,GK,GALINDEZ Hernan Hernán Ismael GALÍNDEZ GALINDEZ,GALÍNDEZ GALINDEZ,1987-03-30,CA Huracán (ARG),189,35,0,galindez hernan hern n ismael gal ndez galindez,gal ndez galindez
Ecuador,ECU,2,DF,TORRES Felix Félix Eduardo TORRES CAICEDO TORRES,TORRES CAICEDO TORRES,1997-01-11,SC Internacional (BRA),187,49,5,torres felix f lix eduardo torres caicedo torres,torres caicedo torres
Ecuador,ECU,3,DF,HINCAPIE Piero Piero Martin HINCAPIÉ REYNA HINCAPIE,HINCAPIÉ REYNA HINCAPIE,2002-01-09,Arsenal FC (ENG),183,52,2,hincapie piero piero martin hincapi reyna hincapie,hincapi reyna hincapie
Ecuador,ECU,4,DF,ORDONEZ Joel Joel Leandro ORDÓÑEZ GUERRERO ORDÓÑEZ,ORDÓÑEZ GUERRERO ORDÓÑEZ,2004-04-21,Club Brugge (BEL),188,17,0,ordonez joel joel leandro ord ez guerrero ord ez,ord ez guerrero ord ez
Ecuador,ECU,5,MF,ALCIVAR Jordy Jordy Jose ALCÍVAR MACÍAS ALCIVAR,ALCÍVAR MACÍAS ALCIVAR,1999-08-05,Independiente Del Valle (ECU),168,11,1,alcivar jordy jordy jose alc var mac as alcivar,alc var mac as alcivar
Ecuador,ECU,6,DF,PACHO Willian Willian Joel PACHO TENORIO PACHO,PACHO TENORIO PACHO,2001-10-16,Paris Saint-Germain (FRA),188,34,2,pacho willian willian joel pacho tenorio pacho,pacho tenorio pacho
Ecuador,ECU,7,DF,ESTUPINAN Pervis Pervis Josue ESTUPIÑÁN TENORIO ESTUPIÑÁN,ESTUPIÑÁN TENORIO ESTUPIÑÁN,1998-01-21,AC Milan (ITA),175,54,5,estupinan pervis pervis josue estupi n tenorio estupi n,estupi n tenorio estupi n
Ecuador,ECU,8,MF,VALENCIA Anthony Anthony Lenin VALENCIA BAJAÑA A. VALENCIA,A. VALENCIA,2003-07-21,Royal Antwerp FC (BEL),173,3,1,valencia anthony anthony lenin valencia baja a a valencia,a valencia
Ecuador,ECU,9,FW,YEBOAH John John YEBOAH ZAMORA YEBOAH ZAMORA,YEBOAH ZAMORA YEBOAH ZAMORA,2000-06-23,Venezia FC (ITA),170,22,3,yeboah john john yeboah zamora yeboah zamora,yeboah zamora yeboah zamora
Ecuador,ECU,10,MF,PAEZ Kendry Ray Kendry PAEZ ANDRADE KENDRY,PAEZ ANDRADE KENDRY,2007-05-04,CA River Plate (ARG),178,26,2,paez kendry ray kendry paez andrade kendry,paez andrade kendry
Ecuador,ECU,11,FW,RODRIGUEZ Kevin Kevin Jose RODRÍGUEZ CORTEZ RODRIGUEZ,RODRÍGUEZ CORTEZ RODRIGUEZ,2000-03-04,Royale Union Saint-Gilloise (BEL),190,31,2,rodriguez kevin kevin jose rodr guez cortez rodriguez,rodr guez cortez rodriguez
Ecuador,ECU,12,GK,RAMIREZ Moises Wellington Moisés RAMÍREZ PRECIADO RAMÍREZ,RAMÍREZ PRECIADO RAMÍREZ,2000-09-09,AE Kisia FC (GRE),185,7,0,ramirez moises wellington mois s ram rez preciado ram rez,ram rez preciado ram rez
Ecuador,ECU,13,FW,VALENCIA Enner Enner Remberto VALENCIA LASTRA E. VALENCIA,E. VALENCIA,1989-11-04,CF Pachuca (MEX),177,105,49,valencia enner enner remberto valencia lastra e valencia,e valencia
Ecuador,ECU,14,MF,MINDA Alan Alan Steve MINDA GARCIA MINDA,MINDA GARCIA MINDA,2003-05-14,Atlético Mineiro (BRA),174,20,2,minda alan alan steve minda garcia minda,minda garcia minda
Ecuador,ECU,15,MF,VITE Pedro Pedro Jeampierre VITE UCA VITE,VITE UCA VITE,2002-03-09,Pumas UNAM (MEX),172,17,1,vite pedro pedro jeampierre vite uca vite,vite uca vite
Ecuador,ECU,16,FW,CAICEDO Jordy Jordy Josue CAICEDO MEDINA J. CAICEDO,J. CAICEDO,1997-11-18,CA Huracán (ARG),186,20,4,caicedo jordy jordy josue caicedo medina j caicedo,j caicedo
Ecuador,ECU,17,DF,PRECIADO Angelo Ángelo Smit PRECIADO QUIÑONEZ PRECIADO,PRECIADO QUIÑONEZ PRECIADO,1998-02-18,Atlético Mineiro (BRA),174,56,0,preciado angelo ngelo smit preciado qui onez preciado,preciado qui onez preciado
Ecuador,ECU,18,MF,CASTILLO Denil Denil Daniel CASTILLO PRECIADO CASTILLO,CASTILLO PRECIADO CASTILLO,2004-03-24,FC Midtjylland (DEN),189,5,0,castillo denil denil daniel castillo preciado castillo,castillo preciado castillo
Ecuador,ECU,19,FW,PLATA Gonzalo Gonzalo Jordy PLATA JIMENEZ PLATA,PLATA JIMENEZ PLATA,2000-11-01,CR Flamengo (BRA),178,50,8,plata gonzalo gonzalo jordy plata jimenez plata,plata jimenez plata
Ecuador,ECU,20,FW,ANGULO Nilson Nilson David ANGULO RAMIREZ ANGULO,ANGULO RAMIREZ ANGULO,2003-06-19,Sunderland AFC (ENG),184,14,2,angulo nilson nilson david angulo ramirez angulo,angulo ramirez angulo
Ecuador,ECU,21,MF,FRANCO Alan Alan Steven FRANCO PALMA FRANCO,FRANCO PALMA FRANCO,1998-08-21,Atlético Mineiro (BRA),175,58,1,franco alan alan steven franco palma franco,franco palma franco
Ecuador,ECU,22,GK,VALLE Gonzalo Gonzalo Roberto VALLE BUSTAMANTE VALLE,VALLE BUSTAMANTE VALLE,1996-02-28,LDU Quito (ECU),186,4,0,valle gonzalo gonzalo roberto valle bustamante valle,valle bustamante valle
Ecuador,ECU,23,MF,CAICEDO Moises Moisés Isaac CAICEDO COROZO M. CAICEDO,M. CAICEDO,2001-11-02,Chelsea FC (ENG),178,61,3,caicedo moises mois s isaac caicedo corozo m caicedo,m caicedo
Ecuador,ECU,24,FW,AREVALO Jeremy Jeremy Alberto AREVALO MERA AREVALO,AREVALO MERA AREVALO,2005-03-19,VfB Stuttgart (GER),182,4,0,arevalo jeremy jeremy alberto arevalo mera arevalo,arevalo mera arevalo
Ecuador,ECU,25,DF,POROZO Jackson Jackson Gabriel POROZO VERNAZA POROZO,POROZO VERNAZA POROZO,2000-08-04,Club Tijuana (MEX),192,9,1,porozo jackson jackson gabriel porozo vernaza porozo,porozo vernaza porozo
Ecuador,ECU,26,DF,MEDINA Yaimar Yaimar Abel MEDINA ORTIZ MEDINA,MEDINA ORTIZ MEDINA,2004-11-05,KRC Genk (BEL),173,6,0,medina yaimar yaimar abel medina ortiz medina,medina ortiz medina
Egypt,EGY,1,GK,MOHAMED ELSHENAWY Mohamed Elsayed Mohamed ELSHENAWY GOMAA M. ELSHENAWY,M. ELSHENAWY,1988-12-18,Al Ahly FC (EGY),191,77,0,mohamed elshenawy mohamed elsayed mohamed elshenawy gomaa m elshenawy,m elshenawy
Egypt,EGY,2,DF,YASSER IBRAHIM Yasser Ahmed Ibrahim ELHANAFY YASSER,ELHANAFY YASSER,1993-02-10,Al Ahly FC (EGY),185,18,1,yasser ibrahim yasser ahmed ibrahim elhanafy yasser,elhanafy yasser
Egypt,EGY,3,DF,MOHAMED HANY Mohamed Hany Gamal ELDEMERDASH M. HANY,M. HANY,1996-02-02,Al Ahly FC (EGY),175,43,0,mohamed hany mohamed hany gamal eldemerdash m hany,m hany
Egypt,EGY,4,DF,HOSSAM ABDELMAGUID Hossam Abdelmegeed Abdelsalam ABDELMEGEED HOSSAM,ABDELMEGEED HOSSAM,2001-04-30,Zamalek SC (EGY),193,13,0,hossam abdelmaguid hossam abdelmegeed abdelsalam abdelmegeed hossam,abdelmegeed hossam
Egypt,EGY,5,DF,RAMY RABIA Ramy Hisham Abdelaziz Moustafa RABIA R. RABIAA,R. RABIAA,1993-05-20,Al Ain FC (UAE),183,47,6,ramy rabia ramy hisham abdelaziz moustafa rabia r rabiaa,r rabiaa
Egypt,EGY,6,DF,MOHAMED ABDELMONEIM Mohamed Abdelmoneim Elsayed M AHMED M. ABDELMONIEM,M. ABDELMONIEM,1999-02-01,OGC Nice (FRA),184,36,3,mohamed abdelmoneim mohamed abdelmoneim elsayed m ahmed m abdelmoniem,m abdelmoniem
Egypt,EGY,7,FW,TREZEGUET Mahmoud Ahmed Ibrahim HASSAN M. TREZEGUET,M. TREZEGUET,1994-10-01,Al Ahly FC (EGY),181,96,23,trezeguet mahmoud ahmed ibrahim hassan m trezeguet,m trezeguet
Egypt,EGY,8,MF,EMAM ASHOUR Emam Ashour Metwaly ABDELGHANY E. ASHOUR,E. ASHOUR,1998-02-20,Al Ahly FC (EGY),180,29,0,emam ashour emam ashour metwaly abdelghany e ashour,e ashour
Egypt,EGY,9,FW,HAMZA ABDELKARIM Hamza Mohamed Abdelkarim E SELIM ABDELKARIM,E SELIM ABDELKARIM,2008-01-01,FC Barcelona (ESP),182,2,0,hamza abdelkarim hamza mohamed abdelkarim e selim abdelkarim,e selim abdelkarim
Egypt,EGY,10,FW,MOHAMED SALAH Mohamed Salah Hamed Mahrous GHALY M. SALAH,M. SALAH,1992-06-15,Liverpool FC (ENG),175,116,67,mohamed salah mohamed salah hamed mahrous ghaly m salah,m salah
Egypt,EGY,11,MF,MOSTAFA ZICO Mostafa Mohamed Zaky ABDELRAOUF ZICO,ABDELRAOUF ZICO,1997-04-27,Pyramids FC (EGY),179,2,2,mostafa zico mostafa mohamed zaky abdelraouf zico,abdelraouf zico
Egypt,EGY,12,FW,HAISSEM HASSAN Haissem Yousry Fouad A HASSAN H. HASSAN,H. HASSAN,2002-02-08,Real Oviedo (ESP),175,4,0,haissem hassan haissem yousry fouad a hassan h hassan,h hassan
Egypt,EGY,13,DF,AHMED FATOUH Ahmed Mohamed Aboelfetouh MOHAMED A. FATOUH,A. FATOUH,1998-03-22,Zamalek SC (EGY),177,39,1,ahmed fatouh ahmed mohamed aboelfetouh mohamed a fatouh,a fatouh
Egypt,EGY,14,MF,HAMDY FATHY Hamdy Fathy Abdelhalim ABDELFATTAH H. FATHY,H. FATHY,1994-09-29,Al Wakrah SC (QAT),183,64,4,hamdy fathy hamdy fathy abdelhalim abdelfattah h fathy,h fathy
Egypt,EGY,15,DF,KARIM HAFEZ Karim Hafez Ramadan SEIFELDIN K. HAFEZ,K. HAFEZ,1996-03-12,Pyramids FC (EGY),174,9,0,karim hafez karim hafez ramadan seifeldin k hafez,k hafez
Egypt,EGY,16,GK,MAHDY SOLIMAN Mahdy Mohamed Soliman IBRAHIM M. SOLIMAN,M. SOLIMAN,1987-06-08,Zamalek SC (EGY),189,0,0,mahdy soliman mahdy mohamed soliman ibrahim m soliman,m soliman
Egypt,EGY,17,MF,MOHANAD LASHIN Mohanad Mostafa Ahmed A LASHIN M. LASHIN,M. LASHIN,1996-05-29,Pyramids FC (EGY),186,23,0,mohanad lashin mohanad mostafa ahmed a lashin m lashin,m lashin
Egypt,EGY,18,MF,NABIL DONGA Nabil Emad Aly Elmahdy ALY DONGA,ALY DONGA,1996-04-06,Al Najmah SC (KSA),179,12,0,nabil donga nabil emad aly elmahdy aly donga,aly donga
Egypt,EGY,19,MF,MARAWAN ATTIA Marawan Attia Fahim GHALLAB M. ATTIA,M. ATTIA,1998-08-01,Al Ahly FC (EGY),176,35,1,marawan attia marawan attia fahim ghallab m attia,m attia
Egypt,EGY,20,FW,IBRAHIM ADEL Ibrahim Adel Aly Mohamed HASSAN I. ADEL,I. ADEL,2001-04-23,FC Nordsjælland (DEN),178,24,3,ibrahim adel ibrahim adel aly mohamed hassan i adel,i adel
Egypt,EGY,21,MF,MAHMOUD SABER Mahmoud Saber Abdelmohsen H ABDELMOHSEN M. SABER,M. SABER,2001-07-30,ZED FC (EGY),170,15,1,mahmoud saber mahmoud saber abdelmohsen h abdelmohsen m saber,m saber
Egypt,EGY,22,FW,OMAR MARMOUSH Omar Khaled Mohamed Abdelsalam MARMOUSH MARMOUSH,MARMOUSH MARMOUSH,1999-02-07,Manchester City FC (ENG),180,50,11,omar marmoush omar khaled mohamed abdelsalam marmoush marmoush,marmoush marmoush
Egypt,EGY,23,GK,MOSTAFA SHOUBIR Mostafa Ahmed Abdelaziz Mohame SHOUBIR SHOUBIR,SHOUBIR SHOUBIR,2000-05-15,Al Ahly FC (EGY),195,10,0,mostafa shoubir mostafa ahmed abdelaziz mohame shoubir shoubir,shoubir shoubir
